Agency,State,Months,Population,Violent_crime_total,Murder_and_Manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,lat,long
Surprise Police Dept,AZ,12,120793,162,3,8,62,89,2488,519,1851,118,33.6,112.4
Syracuse Police Dept,NY,12,145934,1372,14,75,454,829,5976,1896,3698,382,43,76.1
Tacoma Police Dept,WA,12,202646,1615,12,93,486,1024,12866,2965,7995,1906,47.3,122.4
Tallahassee Police Dept,FL,12,185461,1582,12,115,525,930,8617,2630,5463,524,30.4,84.3
Temecula,CA,12,103414,97,0,10,53,34,2440,588,1640,212,33.5,117.1
Tempe Police Dept,AZ,12,166061,878,11,44,253,570,7824,1250,6085,489,33.4,111.9
Thornton Police Dept,CO,12,123115,332,1,58,41,232,3257,476,2431,350,39.9,105
Thousand Oaks,CA,12,129171,157,0,23,46,88,1838,278,1470,90,34.2,118.8
Topeka Police Dept,KS,12,128843,772,15,39,237,481,6841,1277,4967,597,39.1,95.7
Torrance Police Dept,CA,12,147851,190,4,17,92,77,2690,529,1823,338,33.8,118.3
Tyler Police Dept,TX,12,100040,537,4,45,92,396,4506,1025,3350,131,32.4,95.3
Vallejo Police Dept,CA,12,117912,878,14,44,380,440,5844,2688,1681,1475,38.1,122.3
Vancouver Police Dept,WA,12,166375,592,5,72,172,343,6478,1044,4343,1091,49.3,123.1
Ventura Police Dept,CA,12,108511,310,1,24,140,145,3885,778,2825,282,34.3,119.2
Victorville,CA,12,118687,676,6,40,222,408,4465,1837,1981,647,34.5,117.3
Visalia Police Dept,CA,12,127604,544,5,44,134,361,5531,1227,3778,526,36.3,119.3
City Of Waco Police Dept,TX,12,128595,635,6,63,182,384,5844,1550,4139,155,31.5,97.1
Warren Police Dept,MI,12,134340,715,0,91,148,476,3787,999,2049,739,42.5,83
Waterbury Police Dept,CT,12,110486,328,5,7,185,131,4713,662,3538,513,41.6,73.1
West Covina Police Dept,CA,12,107861,281,2,11,108,160,3224,546,2135,543,34.1,117.9
West Jordan Police Dept,UT,12,107103,199,2,24,33,140,2966,474,2264,228,40.6,111.9
West Palm Beach Police Dept,FL,12,102422,821,17,31,334,439,5404,1289,3801,314,26.7,80.1
West Valley Police Dept,UT,12,133725,599,1,90,120,388,5569,940,3972,657,40.7,112
Westminster Police Dept,CO,12,109461,284,2,29,51,202,2830,395,2146,289,39.8,105
Wichita Falls Police Dept,TX,12,105488,475,5,36,150,284,5021,1259,3532,230,33.9,98.5
Wilmington Police Dept,NC,12,109370,618,8,23,261,326,5910,1694,3843,373,34.2,77.9
Winston-Salem Police Dept,NC,12,234687,1556,6,74,428,1048,13701,4529,8490,682,30.1,80.2
Woodbridge Police Dept,NJ,12,100612,122,0,3,55,64,1967,338,1514,115,38.7,77.2
Worcester Police Dept,MA,12,183247,1758,8,33,419,1298,6432,2040,3927,465,42.3,71.8
Yonkers Police Dept,NY,12,198464,1133,4,28,422,679,2565,535,1799,231,40.9,73.9
